,var,var,var,var,var,PT,PT,PT,PT,PT
0,0.01,0.005,0.001,0.0007,0.0005,0.01,0.005,0.001,0.0007,0.0005
0,-2754.768055,-2754.768862,-2754.769901,-2754.770038,-2754.770133,-2754.770311,-2754.770301,-2754.770317,-2754.770328,-2754.770336
1,-2754.701142,-2754.70189,-2754.702873,-2754.703015,-2754.703138,-2754.703328,-2754.70336,-2754.703417,-2754.703429,-2754.70344
2,-2754.700665,-2754.701311,-2754.702306,-2754.70245,-2754.702565,-2754.702767,-2754.702792,-2754.702829,-2754.702842,-2754.702852
3,-2754.699858,-2754.700643,-2754.701595,-2754.701734,-2754.701851,-2754.702012,-2754.702075,-2754.702115,-2754.702127,-2754.702137
4,-2754.699577,-2754.700236,-2754.701243,-2754.701391,-2754.701503,-2754.701698,-2754.70172,-2754.701759,-2754.701771,-2754.701782
5,-2754.6335,-2754.634253,-2754.635588,-2754.635788,-2754.635961,-2754.636079,-2754.636228,-2754.636432,-2754.636457,-2754.636477
6,-2754.633408,-2754.634097,-2754.635305,-2754.635487,-2754.635659,-2754.635815,-2754.635946,-2754.636103,-2754.636123,-2754.636143
7,-2754.633331,-2754.634042,-2754.635267,-2754.635442,-2754.635621,-2754.635761,-2754.635796,-2754.636055,-2754.636072,-2754.636092
8,-2754.633242,-2754.634014,-2754.635131,-2754.635297,-2754.635463,-2754.635745,-2754.63597,-2754.635881,-2754.635897,-2754.635916
9,-2754.63278,-2754.633606,-2754.634967,-2754.635197,-2754.635359,-2754.635421,-2754.635551,-2754.635797,-2754.635821,-2754.635838
10,-2754.632685,-2754.633592,-2754.634922,-2754.63511,-2754.635265,-2754.635515,-2754.635631,-2754.63571,-2754.635729,-2754.635747
11,-2754.632447,-2754.633366,-2754.634625,-2754.634802,-2754.63497,-2754.635117,-2754.635259,-2754.635401,-2754.635419,-2754.63544
12,-2754.632281,-2754.633248,-2754.634541,-2754.634757,-2754.634913,-2754.635074,-2754.635189,-2754.635334,-2754.635355,-2754.635372
13,-2754.632102,-2754.633062,-2754.634273,-2754.634441,-2754.634602,-2754.634782,-2754.634888,-2754.63502,-2754.635036,-2754.635055
14,-2754.632016,-2754.632774,-2754.633954,-2754.634118,-2754.63427,-2754.634442,-2754.634532,-2754.634688,-2754.634705,-2754.634722
15,-2754.631855,-2754.632694,-2754.633745,-2754.63389,-2754.63404,-2754.634169,-2754.63429,-2754.634425,-2754.634442,-2754.634454
16,-2754.631747,-2754.632658,-2754.633663,-2754.633774,-2754.633963,-2754.634148,-2754.634245,-2754.634305,-2754.634298,-2754.634336
17,-2754.6317,-2754.632614,-2754.63365,-2754.633754,-2754.633947,-2754.634144,-2754.634259,-2754.634315,-2754.634323,-2754.634345
18,-2754.631697,-2754.632521,-2754.633611,-2754.633745,-2754.633902,-2754.634114,-2754.634189,-2754.634285,-2754.634314,-2754.634312
19,-2754.63159,-2754.632451,-2754.633499,-2754.633643,-2754.633791,-2754.633987,-2754.634094,-2754.634176,-2754.634186,-2754.634201
20,-2754.631051,-2754.63179,-2754.633038,-2754.633164,-2754.633326,-2754.633476,-2754.633627,-2754.633732,-2754.633746,-2754.633763
21,-2754.630959,-2754.631726,-2754.633005,-2754.633119,-2754.633282,-2754.633464,-2754.633589,-2754.633682,-2754.633693,-2754.63371
22,-2754.630856,-2754.631615,-2754.632783,-2754.632932,-2754.63307,-2754.633279,-2754.633364,-2754.633449,-2754.633463,-2754.633476
23,-2754.627106,-2754.62807,-2754.629567,-2754.629797,-2754.629972,-2754.630294,-2754.630357,-2754.630467,-2754.630494,-2754.630512
24,-2754.624572,-2754.62564,-2754.62693,-2754.627101,-2754.627247,-2754.627003,-2754.627518,-2754.627613,-2754.627633,-2754.62765
25,-2754.624501,-2754.625418,-2754.626589,-2754.626753,-2754.626892,-2754.627304,-2754.627115,-2754.627224,-2754.627243,-2754.62726
26,-2754.624093,-2754.624871,-2754.625996,-2754.626165,-2754.626287,-2754.626389,-2754.626497,-2754.626583,-2754.626603,-2754.626617
27,-2754.623667,-2754.624514,-2754.625677,-2754.625844,-2754.625982,-2754.626018,-2754.626189,-2754.626303,-2754.626322,-2754.626413
28,-2754.623586,-2754.624414,-2754.625632,-2754.62582,-2754.625976,-2754.625965,-2754.626042,-2754.626389,-2754.626411,-2754.626358
29,-2754.62335,-2754.624295,-2754.625536,-2754.625703,-2754.625835,-2754.626177,-2754.62627,-2754.626142,-2754.626161,-2754.626177
30,-2754.622172,-2754.623095,-2754.624453,-2754.624655,-2754.624806,-2754.625034,-2754.625093,-2754.625187,-2754.62521,-2754.625225
